time;x;y;z
3,118;-0,01;0,03;-3,10
3,133;-0,11;0,03;-3,24
3,135;-0,15;0,02;-3,35
3,136;-0,19;-0,01;-3,44
3,138;-0,22;-0,06;-3,54
3,160;-0,27;-0,08;-3,60
3,161;-0,32;-0,12;-3,68
3,162;-0,37;-0,14;-3,73
3,163;-0,42;-0,19;-3,77
3,164;-0,53;-0,23;-3,80
3,167;-0,58;-0,25;-3,81
3,173;-0,64;-0,24;-3,80
3,186;-0,69;-0,25;-3,77
3,188;-0,75;-0,26;-3,74
3,191;-0,80;-0,26;-3,72
3,193;-0,85;-0,26;-3,68
3,214;-0,89;-0,26;-3,64
3,216;-0,97;-0,27;-3,55
3,216;-1,01;-0,25;-3,50
3,220;-1,02;-0,23;-3,47
3,220;-1,02;-0,25;-3,45
3,222;-1,00;-0,33;-3,42
3,243;-0,96;-0,35;-3,40
3,244;-0,94;-0,31;-3,39
3,245;-0,90;-0,30;-3,38
3,246;-0,81;-0,30;-3,35
3,247;-0,75;-0,30;-3,33
3,254;-0,69;-0,30;-3,32
3,278;-0,64;-0,26;-3,30
3,279;-0,54;-0,27;-3,28
3,280;-0,45;-0,25;-3,25
3,281;-0,37;-0,25;-3,22
3,283;-0,27;-0,24;-3,20
3,284;-0,10;-0,19;-3,13
3,288;-0,04;-0,14;-3,07
3,303;0,03;-0,10;-3,02
3,304;0,12;-0,07;-2,98
3,305;0,19;-0,03;-2,91
3,308;0,28;0,02;-2,85
3,314;0,35;0,06;-2,80
3,318;0,41;0,11;-2,73
3,323;0,55;0,19;-2,58
3,341;0,63;0,24;-2,52
3,343;0,70;0,25;-2,48
3,344;0,76;0,28;-2,42
3,345;0,82;0,29;-2,39
3,348;0,86;0,28;-2,32
3,354;0,91;0,27;-2,26
3,385;0,93;0,26;-2,19
3,386;0,91;0,23;-2,10
3,388;0,90;0,21;-2,08
3,392;0,87;0,21;-2,06
3,393;0,82;0,20;-2,03
3,395;0,78;0,18;-2,00
3,396;0,73;0,19;-1,99
3,400;0,68;0,18;-1,99
3,401;0,60;0,19;-2,00
3,403;0,58;0,18;-2,01
3,422;0,53;0,16;-2,03
3,424;0,53;0,18;-2,03
3,425;0,50;0,18;-2,02
3,426;0,46;0,21;-2,03
3,451;0,43;0,23;-2,01
3,456;0,39;0,26;-1,99
3,458;0,33;0,27;-1,90
3,459;0,31;0,28;-1,83
3,461;0,29;0,27;-1,77
3,462;0,30;0,25;-1,68
3,463;0,30;0,23;-1,61
3,464;0,32;0,23;-1,54
3,486;0,35;0,24;-1,47
3,487;0,42;0,26;-1,39
3,489;0,54;0,30;-1,28
3,490;0,63;0,40;-1,22
3,491;0,73;0,46;-1,18
3,493;0,83;0,55;-1,13
3,500;0,98;0,63;-1,07
3,503;1,12;0,70;-1,00
3,521;1,27;0,74;-0,92
3,522;1,42;0,81;-0,82
3,523;1,67;0,89;-0,56
3,524;1,77;0,93;-0,39
3,564;1,85;0,97;-0,26
3,565;1,92;0,99;-0,08
3,566;1,97;1,00;0,08
3,568;2,00;1,02;0,24
3,569;2,00;1,01;0,36
3,570;1,97;1,01;0,48
3,571;1,89;1,00;0,65
3,572;1,81;0,96;0,69
3,573;1,72;0,95;0,73
3,574;1,60;0,93;0,72
3,594;1,45;0,96;0,70
3,595;1,26;0,95;0,66
3,596;1,14;0,88;0,65
3,598;1,01;0,77;0,68
3,599;0,80;0,53;0,82
3,603;0,72;0,47;0,95
3,620;0,63;0,46;1,09
3,621;0,52;0,51;1,24
3,622;0,43;0,59;1,39
3,623;0,35;0,69;1,52
3,643;0,29;0,80;1,70
3,644;0,22;0,90;1,85
3,645;0,16;1,08;2,18
3,646;0,13;1,17;2,36
3,649;0,08;1,25;2,52
3,653;0,06;1,33;2,69
3,674;0,01;1,44;2,84
3,675;-0,05;1,54;2,99
3,675;-0,11;1,62;3,09
3,676;-0,17;1,69;3,18
3,680;-0,30;1,82;3,31
3,683;-0,36;1,87;3,33
3,688;-0,43;1,90;3,35
3,706;-0,46;1,93;3,34
3,708;-0,50;1,93;3,31
3,709;-0,52;1,92;3,29
3,710;-0,53;1,91;3,24
3,713;-0,53;1,90;3,21
3,718;-0,53;1,89;3,12
3,725;-0,56;1,86;3,10
3,751;-0,58;1,85;3,08
3,753;-0,65;1,83;3,09
3,755;-0,72;1,81;3,11
3,756;-0,78;1,75;3,12
3,757;-0,83;1,71;3,17
3,758;-0,93;1,64;3,18
3,761;-0,95;1,59;3,19
3,779;-0,96;1,53;3,18
3,780;-0,96;1,46;3,18
3,781;-0,92;1,38;3,20
3,782;-0,88;1,33;3,20
3,783;-0,83;1,27;3,21
3,788;-0,75;1,22;3,23
3,804;-0,58;1,15;3,26
3,806;-0,51;1,11;3,28
3,807;-0,41;1,10;3,33
3,809;-0,31;1,08;3,34
3,834;-0,20;1,05;3,39
3,835;-0,08;1,03;3,44
3,837;0,01;1,00;3,47
3,838;0,11;0,99;3,51
3,839;0,29;0,96;3,59
3,840;0,38;0,93;3,61
3,868;0,46;0,93;3,65
3,870;0,52;0,90;3,66
3,876;0,56;0,92;3,68
3,877;0,60;0,92;3,68
3,878;0,63;0,93;3,69
3,879;0,66;0,93;3,69
3,880;0,69;0,95;3,68
3,881;0,70;0,95;3,68
3,899;0,70;0,95;3,67
3,900;0,70;0,95;3,67
3,901;0,68;0,96;3,65
3,902;0,67;0,97;3,64
3,904;0,66;0,98;3,62
3,928;0,63;0,98;3,60
3,930;0,58;0,99;3,54
3,931;0,57;0,96;3,49
3,934;0,53;0,98;3,42
3,935;0,50;0,95;3,37
3,936;0,47;0,96;3,30
3,939;0,44;0,95;3,21
3,943;0,40;0,94;3,13
3,963;0,37;0,91;3,03
3,964;0,27;0,87;2,84
3,965;0,23;0,85;2,74
3,966;0,17;0,83;2,65
3,968;0,10;0,80;2,53
3,974;0,04;0,78;2,43
3,997;-0,02;0,76;2,33
3,998;-0,09;0,75;2,22
3,999;-0,15;0,70;2,10
4,000;-0,29;0,64;1,85
4,009;-0,36;0,62;1,74
4,018;-0,41;0,60;1,61
4,019;-0,48;0,58;1,48
4,020;-0,54;0,55;1,35
4,022;-0,59;0,53;1,21
