time;x;y;z
1,406;0,42;-0,28;0,01
1,407;0,42;-0,11;0,07
1,420;0,39;0,08;0,14
1,422;0,36;0,26;0,22
1,423;0,31;0,44;0,30
1,441;0,26;0,55;0,37
1,442;0,15;0,69;0,49
1,444;0,08;0,70;0,53
1,445;0,04;0,69;0,56
1,447;-0,03;0,67;0,60
1,452;-0,11;0,61;0,62
1,458;-0,18;0,54;0,64
1,475;-0,24;0,45;0,63
1,476;-0,30;0,37;0,63
1,478;-0,39;0,15;0,63
1,479;-0,42;0,07;0,62
1,482;-0,45;-0,03;0,61
1,487;-0,46;-0,09;0,60
1,513;-0,47;-0,17;0,59
1,514;-0,45;-0,21;0,59
1,515;-0,44;-0,25;0,58
1,516;-0,41;-0,27;0,57
1,518;-0,33;-0,29;0,55
1,519;-0,29;-0,29;0,56
1,522;-0,24;-0,29;0,53
1,543;-0,20;-0,28;0,52
1,544;-0,13;-0,30;0,52
1,545;-0,07;-0,30;0,54
1,547;0,01;-0,30;0,55
1,548;0,09;-0,30;0,56
1,552;0,26;-0,31;0,53
1,575;0,32;-0,30;0,51
1,577;0,40;-0,29;0,50
1,578;0,45;-0,26;0,48
1,579;0,48;-0,24;0,45
1,580;0,48;-0,19;0,43
1,582;0,48;-0,17;0,40
1,587;0,47;-0,12;0,39
1,609;0,39;-0,05;0,36
1,610;0,35;0,01;0,35
1,611;0,32;0,04;0,35
1,612;0,27;0,08;0,36
1,613;0,22;0,09;0,36
1,617;0,18;0,10;0,35
1,622;0,12;0,10;0,36
1,638;0,09;0,10;0,35
1,639;0,05;0,08;0,32
1,640;0,02;0,05;0,29
1,642;0,03;0,04;0,27
1,647;0,01;0,01;0,23
1,652;0,01;-0,02;0,19
1,675;0,01;-0,06;0,15
1,676;0,03;-0,07;0,11
1,677;0,04;-0,11;0,09
1,678;0,07;-0,15;0,04
1,679;0,10;-0,17;0,01
1,682;0,12;-0,17;0,00
1,687;0,12;-0,19;-0,02
1,707;0,14;-0,18;-0,02
1,708;0,14;-0,20;-0,04
1,709;0,15;-0,20;-0,05
1,710;0,16;-0,20;-0,09
1,712;0,17;-0,22;-0,12
1,718;0,15;-0,24;-0,16
1,724;0,16;-0,24;-0,18
1,740;0,15;-0,26;-0,21
1,742;0,15;-0,26;-0,22
1,743;0,16;-0,27;-0,26
1,744;0,14;-0,26;-0,29
1,747;0,13;-0,24;-0,32
1,752;0,12;-0,25;-0,36
1,760;0,13;-0,22;-0,39
1,779;0,11;-0,21;-0,39
1,780;0,11;-0,18;-0,42
1,782;0,11;-0,14;-0,43
1,783;0,12;-0,12;-0,46
1,786;0,13;-0,08;-0,45
1,787;0,13;0,02;-0,45
1,809;0,12;0,05;-0,45
1,811;0,12;0,06;-0,44
1,812;0,09;0,08;-0,42
1,813;0,07;0,10;-0,42
1,814;0,06;0,11;-0,39
1,817;0,04;0,10;-0,37
1,822;0,01;0,10;-0,36
1,852;-0,01;0,05;-0,34
1,854;-0,03;0,00;-0,33
1,855;-0,07;-0,04;-0,33
1,856;-0,12;-0,08;-0,33
1,861;-0,19;-0,11;-0,33
1,862;-0,28;-0,12;-0,34
1,863;-0,36;-0,10;-0,32
1,864;-0,48;-0,08;-0,34
1,880;-0,71;0,01;-0,31
1,882;-0,82;0,04;-0,29
1,883;-0,92;0,07;-0,28
1,884;-0,99;0,09;-0,26
1,887;-1,04;0,11;-0,26
1,907;-1,06;0,12;-0,27
1,908;-1,04;0,11;-0,27
1,909;-0,99;0,09;-0,28
1,910;-0,82;-0,02;-0,36
1,930;-0,69;-0,11;-0,41
1,931;-0,54;-0,20;-0,45
1,932;-0,38;-0,27;-0,50
1,934;-0,21;-0,35;-0,51
1,935;-0,04;-0,42;-0,56
1,938;0,12;-0,45;-0,58
1,956;0,25;-0,47;-0,61
1,958;0,44;-0,41;-0,66
1,959;0,49;-0,36;-0,66
1,960;0,52;-0,29;-0,67
1,983;0,53;-0,21;-0,65
1,984;0,54;-0,11;-0,65
1,985;0,53;-0,01;-0,63
1,986;0,49;0,07;-0,61
1,987;0,47;0,16;-0,58
1,989;0,39;0,30;-0,52
2,008;0,35;0,35;-0,49
2,009;0,30;0,37;-0,47
2,010;0,26;0,37;-0,46
2,012;0,21;0,36;-0,43
2,013;0,17;0,35;-0,40
2,018;0,13;0,31;-0,38
2,022;0,10;0,28;-0,37
2,039;0,04;0,17;-0,32
2,040;0,02;0,11;-0,31
2,041;0,00;0,06;-0,28
2,042;-0,01;0,00;-0,26
2,063;-0,02;-0,04;-0,26
2,065;-0,03;-0,10;-0,25
2,066;-0,04;-0,14;-0,24
2,068;-0,04;-0,19;-0,22
2,069;-0,06;-0,27;-0,22
2,072;-0,07;-0,29;-0,22
2,095;-0,07;-0,32;-0,21
2,096;-0,06;-0,33;-0,22
2,097;-0,06;-0,36;-0,22
2,099;-0,04;-0,38;-0,23
2,100;-0,03;-0,38;-0,22
2,102;-0,02;-0,39;-0,22
2,107;0,03;-0,38;-0,22
2,125;0,05;-0,37;-0,23
2,127;0,08;-0,36;-0,23
2,128;0,10;-0,35;-0,22
2,129;0,12;-0,35;-0,22
2,133;0,14;-0,34;-0,23
2,138;0,15;-0,34;-0,24
2,158;0,17;-0,34;-0,24
2,170;0,19;-0,32;-0,24
2,171;0,20;-0,30;-0,25
2,172;0,20;-0,30;-0,26
2,175;0,20;-0,30;-0,25
2,176;0,19;-0,29;-0,26
2,178;0,19;-0,29;-0,26
2,179;0,16;-0,30;-0,25
2,198;0,08;-0,30;-0,23
2,199;0,04;-0,32;-0,20
2,200;-0,02;-0,35;-0,18
2,201;-0,07;-0,37;-0,15
2,202;-0,13;-0,40;-0,12
2,208;-0,18;-0,40;-0,09
