time;x;y;z
2,708;1,59;0,18;3,21
2,709;1,65;0,18;3,28
2,731;1,69;0,20;3,32
2,732;1,72;0,23;3,37
2,733;1,71;0,26;3,42
2,734;1,72;0,28;3,44
2,736;1,72;0,33;3,46
2,739;1,71;0,35;3,49
2,757;1,68;0,39;3,52
2,758;1,63;0,46;3,53
2,759;1,61;0,49;3,54
2,760;1,59;0,53;3,54
2,761;1,56;0,55;3,52
2,766;1,51;0,58;3,53
2,774;1,51;0,63;3,52
2,795;1,48;0,65;3,49
2,796;1,39;0,72;3,45
2,797;1,35;0,76;3,42
2,798;1,32;0,78;3,39
2,799;1,28;0,80;3,35
2,803;1,23;0,82;3,31
2,807;1,20;0,84;3,25
2,828;1,17;0,85;3,18
2,829;1,10;0,87;3,12
2,830;0,99;0,87;2,97
2,831;0,93;0,88;2,91
2,832;0,87;0,88;2,83
2,836;0,80;0,88;2,74
2,853;0,73;0,88;2,67
2,854;0,66;0,90;2,59
2,856;0,60;0,89;2,50
2,886;0,53;0,90;2,42
2,887;0,41;0,89;2,24
2,888;0,35;0,88;2,16
2,889;0,29;0,86;2,07
2,892;0,25;0,86;1,97
2,893;0,18;0,83;1,90
2,903;0,12;0,82;1,80
2,904;0,09;0,78;1,72
2,906;0,05;0,75;1,64
2,907;0,00;0,69;1,46
2,908;-0,02;0,64;1,37
2,929;-0,04;0,61;1,27
2,930;-0,06;0,57;1,18
2,932;-0,07;0,53;1,07
2,933;-0,09;0,49;0,97
2,934;-0,12;0,42;0,86
2,936;-0,13;0,37;0,76
2,942;-0,17;0,26;0,55
2,948;-0,18;0,21;0,43
2,970;-0,20;0,14;0,32
2,972;-0,23;0,07;0,20
2,974;-0,27;0,01;0,09
2,974;-0,30;-0,05;-0,03
2,976;-0,34;-0,10;-0,14
2,978;-0,41;-0,16;-0,27
2,982;-0,56;-0,25;-0,55
2,987;-0,65;-0,30;-0,70
3,020;-0,74;-0,35;-0,85
3,021;-0,84;-0,37;-1,04
3,033;-0,92;-0,44;-1,21
3,036;-0,99;-0,46;-1,39
3,037;-1,03;-0,50;-1,58
3,038;-1,10;-0,52;-1,77
3,039;-1,13;-0,59;-2,12
3,069;-1,15;-0,62;-2,28
3,070;-1,11;-0,65;-2,42
3,072;-1,08;-0,68;-2,56
3,072;-1,01;-0,71;-2,69
3,073;-0,94;-0,72;-2,81
3,074;-0,85;-0,75;-2,90
3,075;-0,76;-0,76;-2,98
3,076;-0,57;-0,74;-3,09
3,077;-0,48;-0,72;-3,11
3,078;-0,39;-0,68;-3,12
3,080;-0,31;-0,65;-3,13
3,082;-0,24;-0,60;-3,11
3,098;-0,21;-0,54;-3,11
3,098;-0,17;-0,51;-3,11
3,101;-0,15;-0,45;-3,11
3,103;-0,15;-0,36;-3,17
3,106;-0,17;-0,32;-3,21
3,132;-0,21;-0,28;-3,26
3,132;-0,23;-0,25;-3,32
3,134;-0,28;-0,20;-3,38
3,143;-0,30;-0,20;-3,46
3,144;-0,34;-0,19;-3,54
3,145;-0,37;-0,18;-3,60
3,146;-0,41;-0,11;-3,76
3,147;-0,42;-0,11;-3,85
3,174;-0,42;-0,13;-3,91
3,175;-0,41;-0,17;-3,96
3,176;-0,40;-0,20;-4,01
3,177;-0,40;-0,24;-4,03
3,178;-0,41;-0,30;-4,04
3,179;-0,44;-0,41;-4,04
3,182;-0,47;-0,48;-4,02
3,186;-0,49;-0,54;-3,99
3,210;-0,51;-0,59;-3,98
3,211;-0,53;-0,66;-3,97
3,212;-0,55;-0,71;-3,94
3,213;-0,57;-0,78;-3,93
3,214;-0,58;-0,82;-3,92
3,216;-0,59;-0,89;-3,90
3,221;-0,60;-0,94;-3,89
3,249;-0,58;-0,97;-3,87
3,250;-0,59;-1,00;-3,87
3,251;-0,58;-1,03;-3,86
3,252;-0,57;-1,03;-3,85
3,254;-0,54;-1,04;-3,82
3,255;-0,52;-1,04;-3,79
3,256;-0,47;-1,02;-3,71
3,282;-0,45;-1,00;-3,66
3,284;-0,43;-0,98;-3,59
3,285;-0,39;-0,96;-3,55
3,287;-0,38;-0,93;-3,48
3,288;-0,34;-0,90;-3,42
3,289;-0,33;-0,87;-3,35
3,311;-0,32;-0,86;-3,28
3,313;-0,28;-0,77;-3,16
3,314;-0,27;-0,72;-3,09
3,315;-0,25;-0,66;-3,03
3,316;-0,26;-0,63;-2,97
3,317;-0,26;-0,56;-2,90
3,322;-0,27;-0,53;-2,85
3,352;-0,29;-0,49;-2,78
3,354;-0,31;-0,43;-2,73
3,355;-0,36;-0,37;-2,64
3,358;-0,38;-0,33;-2,61
3,359;-0,43;-0,30;-2,55
3,360;-0,45;-0,30;-2,52
3,361;-0,48;-0,29;-2,46
3,362;-0,48;-0,29;-2,42
3,388;-0,49;-0,28;-2,36
3,391;-0,50;-0,30;-2,33
3,392;-0,49;-0,32;-2,24
3,393;-0,49;-0,36;-2,21
3,394;-0,47;-0,35;-2,18
3,395;-0,46;-0,39;-2,16
3,396;-0,45;-0,41;-2,13
3,426;-0,46;-0,45;-2,11
3,427;-0,47;-0,47;-2,10
3,429;-0,48;-0,48;-2,07
3,430;-0,52;-0,50;-2,03
3,434;-0,51;-0,49;-2,00
3,435;-0,52;-0,47;-1,96
3,436;-0,51;-0,45;-1,93
3,437;-0,46;-0,43;-1,89
3,468;-0,40;-0,39;-1,86
3,469;-0,34;-0,35;-1,82
3,470;-0,25;-0,33;-1,77
3,471;-0,04;-0,24;-1,62
3,472;0,05;-0,16;-1,52
3,474;0,14;-0,11;-1,42
3,475;0,26;0,05;-1,28
3,499;0,33;0,06;-1,16
3,501;0,41;0,09;-1,01
3,502;0,48;0,11;-0,85
3,503;0,57;0,13;-0,67
3,504;0,71;0,25;-0,36
3,510;0,75;0,31;-0,20
3,511;0,79;0,32;-0,04
3,512;0,81;0,30;0,10
3,533;0,80;0,30;0,24
3,534;0,78;0,30;0,38
3,536;0,72;0,30;0,50
3,537;0,61;0,29;0,60
3,538;0,35;0,29;0,74
3,564;0,23;0,28;0,77
3,565;0,09;0,26;0,79
3,567;-0,03;0,22;0,79
3,567;-0,12;0,17;0,78
3,569;-0,16;0,12;0,74
3,570;-0,18;0,05;0,75
3,572;-0,11;-0,06;0,79
3,610;-0,03;-0,09;0,86
3,611;0,06;-0,11;0,95
3,612;0,16;-0,12;1,08
3,615;0,26;-0,10;1,22
3,616;0,36;-0,10;1,38
3,617;0,43;-0,09;1,55
3,618;0,51;-0,04;1,72
3,621;0,58;0,05;2,05
3,624;0,58;0,13;2,20
3,626;0,55;0,22;2,33
3,628;0,50;0,33;2,44
3,655;0,45;0,44;2,53
3,656;0,40;0,56;2,60
3,657;0,35;0,71;2,66
3,659;0,29;0,82;2,71
3,660;0,21;1,08;2,77
3,661;0,17;1,21;2,80
3,664;0,15;1,33;2,83
3,687;0,14;1,43;2,87
3,690;0,15;1,54;2,90
3,691;0,18;1,62;2,92
3,693;0,20;1,71;2,96
3,694;0,24;1,77;3,01
3,695;0,30;1,88;3,08
3,699;0,32;1,91;3,12
3,728;0,36;1,94;3,17
3,731;0,37;1,96;3,23
3,732;0,40;1,96;3,28
3,733;0,41;1,96;3,33
3,734;0,44;1,95;3,38
3,735;0,45;1,94;3,43
3,736;0,52;1,89;3,50
3,741;0,53;1,84;3,52
3,742;0,53;1,81;3,54
3,770;0,52;1,77;3,54
3,772;0,52;1,74;3,57
3,773;0,48;1,72;3,58
3,775;0,45;1,68;3,60
3,777;0,42;1,65;3,62
3,782;0,31;1,55;3,65
3,783;0,25;1,51;3,67
3,784;0,19;1,47;3,70
3,807;0,13;1,43;3,73
3,811;0,11;1,37;3,74
3,812;0,09;1,32;3,75
3,813;0,07;1,26;3,76
3,814;0,05;1,19;3,77
3,816;0,04;1,08;3,79
3,817;0,03;1,03;3,81
3,822;0,01;0,97;3,80
3,867;-0,00;0,94;3,81
3,870;-0,01;0,88;3,81
3,871;-0,02;0,85;3,80
3,874;-0,03;0,81;3,79
3,876;-0,04;0,78;3,78
3,877;-0,08;0,73;3,76
3,878;-0,10;0,71;3,75
3,879;-0,13;0,71;3,72
3,881;-0,15;0,70;3,70
3,882;-0,17;0,68;3,70
3,883;-0,20;0,68;3,68
3,885;-0,24;0,67;3,65
3,907;-0,27;0,69;3,63
3,909;-0,30;0,69;3,57
3,910;-0,32;0,68;3,54
3,911;-0,33;0,70;3,48
3,912;-0,37;0,69;3,43
3,913;-0,37;0,70;3,37
3,944;-0,37;0,70;3,31
3,947;-0,38;0,71;3,24
3,949;-0,42;0,71;3,10
3,950;-0,43;0,72;3,03
3,951;-0,43;0,71;2,94
3,952;-0,44;0,71;2,87
3,953;-0,44;0,70;2,78
3,955;-0,45;0,69;2,69
3,957;-0,46;0,67;2,61
4,004;-0,46;0,66;2,52
4,007;-0,48;0,64;2,33
4,008;-0,48;0,63;2,25
4,009;-0,50;0,61;2,15
4,011;-0,50;0,61;2,06
4,012;-0,51;0,59;1,97
