time;x;y;z
2,094;0,51;0,53;0,00
2,095;0,47;0,55;-0,00
2,096;0,44;0,58;-0,02
2,098;0,42;0,59;-0,02
2,099;0,39;0,62;0,00
2,100;0,41;0,61;0,02
2,102;0,42;0,57;0,12
2,104;0,42;0,51;0,17
2,106;0,42;0,47;0,19
2,107;0,39;0,42;0,18
2,108;0,34;0,41;0,17
2,109;0,28;0,40;0,15
2,111;0,22;0,40;0,14
2,137;0,11;0,43;0,15
2,141;-0,05;0,44;0,29
2,143;-0,20;0,53;0,36
2,144;-0,38;0,67;0,43
2,146;-0,56;0,77;0,52
2,147;-0,72;0,82;0,61
2,148;-0,86;0,77;0,68
2,150;-0,99;0,70;0,75
2,169;-1,08;0,62;0,82
2,172;-1,16;0,40;0,85
2,174;-1,13;0,29;0,85
2,175;-1,05;0,20;0,83
2,178;-0,96;0,15;0,82
2,206;-0,86;0,11;0,80
2,208;-0,74;0,04;0,79
2,208;-0,62;-0,08;0,80
2,209;-0,52;-0,20;0,78
2,211;-0,37;-0,33;0,74
2,212;-0,31;-0,34;0,70
2,213;-0,23;-0,34;0,63
2,240;-0,16;-0,32;0,58
2,241;-0,06;-0,33;0,47
2,242;0,01;-0,31;0,39
2,243;0,10;-0,27;0,34
2,244;0,17;-0,18;0,31
2,245;0,34;-0,02;0,29
2,249;0,40;0,06;0,32
2,251;0,45;0,13;0,35
2,276;0,48;0,18;0,36
2,277;0,52;0,19;0,40
2,278;0,53;0,14;0,43
2,280;0,53;0,11;0,44
2,281;0,50;0,11;0,45
2,282;0,45;0,16;0,41
2,285;0,41;0,10;0,36
2,309;0,36;0,02;0,32
2,311;0,31;-0,04;0,31
2,312;0,23;-0,10;0,30
2,313;0,15;-0,15;0,30
2,314;0,09;-0,21;0,29
2,316;0,02;-0,24;0,30
2,320;-0,03;-0,27;0,33
2,347;-0,03;-0,29;0,35
2,348;-0,00;-0,27;0,38
2,349;0,02;-0,26;0,41
2,350;0,03;-0,21;0,43
2,351;0,05;-0,19;0,47
2,352;0,09;-0,17;0,49
2,377;0,10;-0,19;0,52
2,379;0,12;-0,22;0,54
2,380;0,14;-0,22;0,52
2,381;0,13;-0,22;0,48
2,382;0,14;-0,25;0,43
2,383;0,16;-0,30;0,38
2,385;0,17;-0,35;0,32
2,417;0,18;-0,44;0,25
2,418;0,17;-0,49;0,21
2,419;0,20;-0,67;0,21
2,420;0,23;-0,80;0,23
2,422;0,20;-0,82;0,22
2,423;0,22;-0,86;0,18
2,424;0,21;-0,91;0,18
2,425;0,19;-0,87;0,21
2,454;0,17;-0,78;0,24
2,455;0,15;-0,70;0,26
2,456;0,13;-0,65;0,27
2,458;0,11;-0,60;0,26
2,459;0,10;-0,55;0,23
2,460;0,08;-0,51;0,20
2,461;0,09;-0,43;0,17
2,465;0,11;-0,32;0,14
2,471;0,11;-0,16;0,10
2,497;0,12;0,20;0,04
2,498;0,14;0,31;-0,00
2,499;0,15;0,33;-0,02
2,500;0,20;0,31;-0,04
2,501;0,22;0,36;-0,04
2,510;0,20;0,51;-0,04
2,516;0,18;0,61;-0,05
2,517;0,17;0,71;-0,07
2,518;0,16;0,70;-0,12
2,521;0,13;0,66;-0,15
2,548;0,06;0,67;-0,18
2,550;0,01;0,63;-0,18
2,551;-0,04;0,58;-0,18
2,556;-0,07;0,52;-0,15
2,556;-0,10;0,40;-0,11
2,557;-0,17;0,29;-0,10
2,558;-0,30;0,08;-0,05
2,581;-0,35;-0,02;-0,03
2,582;-0,40;-0,07;-0,01
2,583;-0,42;-0,16;-0,02
2,584;-0,43;-0,23;-0,06
2,585;-0,42;-0,29;-0,11
2,585;-0,42;-0,31;-0,18
2,675;-0,41;-0,32;-0,26
2,676;-0,39;-0,30;-0,43
2,677;-0,35;-0,36;-0,53
2,678;-0,32;-0,39;-0,61
2,679;-0,27;-0,40;-0,67
2,680;-0,23;-0,37;-0,74
2,681;-0,16;-0,37;-0,78
2,682;-0,06;-0,37;-0,78
2,683;0,04;-0,36;-0,80
2,685;0,27;-0,29;-0,78
2,686;0,37;-0,23;-0,78
2,687;0,39;-0,20;-0,87
2,688;0,34;-0,25;-1,03
